molecule_id,parent_smiles,parent_key,murcko_smiles,activity_type,activity_nm,assay_type,source_record_id,source_url,doi,confidence,notes
CHEMBL4096251,COC(=O)Nc1ccc2c(c1)NC(=O)CCc1nc(ccc1F)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,RMPNNJSYICOFTF-PRQZJMEUSA-N,O=C(/C=C/c1ccccc1-n1cnnn1)N[C@H]1Cc2cccc(n2)CCC(=O)Nc2ccccc2-c2c[nH]c1n2,Ki,0.02,B,activity:18209480|CHEMBL4045381|CHEMBL4043146,https://www.ebi.ac.uk/chembl/activity_report_card/18209480,,medium,
CHEMBL4060950,COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,QDZNEUFADIBXNS-RLIJCMBASA-N,O=C(/C=C/c1ccccc1-n1cnnn1)N[C@H]1C/C=C/CCC(=O)Nc2ccccc2-c2c[nH]c1n2,Ki,0.03,B,activity:17956410|CHEMBL3993696|CHEMBL3992532,https://www.ebi.ac.uk/chembl/activity_report_card/17956410,,medium,
CHEMBL4107149,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(C#N)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,WSDKNZUBTLXSPM-CLYVBNDRSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2ccccc2N1,Ki,0.03,B,activity:27608258|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608258,,medium,
CHEMBL3580759,CN1CCN(C(=O)C[C@H](NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)c2nc(-c3ccc4[nH]c(=O)cc(O)c4c3)c(Cl)[nH]2)CC1,NBMJTOOHXJGJNZ-RJOTYRNVSA-N,O=C(/C=C/c1ccccc1-n1cnnn1)N[C@@H](CC(=O)N1CCNCC1)c1nc(-c2ccc3[nH]c(=O)ccc3c2)c[nH]1,Ki,0.04,B,activity:15617373|CHEMBL3584521|CHEMBL3580601,https://www.ebi.ac.uk/chembl/activity_report_card/15617373,,medium,
CHEMBL4110926,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(OC(F)F)ccc(Cl)c3F)=CC1=O)c1ccnc-2c1,WUPABZDGAQQKAU-NSYGIPOTSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2ccnc(c2)-c2ccccc2N1,Ki,0.04,B,activity:27608339|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608339,,medium,
CHEMBL6039093,COC(=O)Nc1ccc2c(c1)NC(=O)CC[C@@H](C)C[C@H](c1ccc(-c3c(F)ccc(Cl)c3F)c[n+]1[O-])c1nc-2c(C)[nH]1,ZBFGRVUPGJGBJH-FOIQADDNSA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3)c[nH+]2)c2nc(c[nH]2)-c2ccccc2N1,Ki,0.04,B,activity:27397748|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397748,,medium,
CHEMBL4108927,C[C@@H]1CCC[C@H](N2CCC(c3c(F)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2cc3c(O)cc(=O)[nH]c3cc2NC1=O,PCFRQVQVEWPIRV-DXPJPUQTSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2cc3ccc(=O)[nH]c3cc2N1,Ki,0.05,B,activity:27608843|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608843,,medium,
CHEMBL4112773,C[C@@H]1CCC[C@H](N2CCC(c3c(-n4cnnn4)ccc(Cl)c3F)=CC2=O)c2cc(ccn2)-c2ccccc2NC1=O,JSZAYFVPBHXVCY-CJAUYULYSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3-n3cnnn3)=CC2=O)c2cc(ccn2)-c2ccccc2N1,Ki,0.05,B,activity:27608450|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608450,,medium,
CHEMBL4114881,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(F)ccc(Cl)c3F)=CC1=O)c1nc-2c(Cl)[nH]1,GWIGRUFPKOTEAQ-SZNDQCEHSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2nc(c[nH]2)-c2ccccc2N1,Ki,0.05,B,activity:27608651|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608651,,medium,
CHEMBL4097522,COC(=O)Nc1ccc2c(c1)NC(=O)C[C@@H](C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,IVMDOZYQHUDMET-SXJUZZDLSA-N,O=C(/C=C/c1ccccc1-n1cnnn1)N[C@H]1CCCCCC(=O)Nc2ccccc2-c2c[nH]c1n2,Ki,0.06,B,activity:18264400|CHEMBL4056973|CHEMBL4052741,https://www.ebi.ac.uk/chembl/activity_report_card/18264400,,medium,
CHEMBL4109568,Cc1[nH]c2cc3c(cc2c1C(=O)O)-c1ccnc(c1)[C@@H](N1CCC(c2c(F)ccc(Cl)c2F)=CC1=O)CCC[C@@H](C)C(=O)N3,NVRLHRULRRIJBY-JWIGPWBQSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2cc3cc[nH]c3cc2N1,Ki,0.06,B,activity:27608495|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608495,,medium,
CHEMBL4068445,CN1CCC2(CCN(c3cccc4c3CCN(C(=O)/C=C/c3c(-n5cnnn5)ccc(Cl)c3F)[C@@H]4C(=O)Nc3ccc(C(=O)O)cc3)CC2)C1=O,KTIOOXQDMLHNLT-YHQPZVNASA-N,O=C(Nc1ccccc1)[C@@H]1c2cccc(N3CCC4(CCNC4=O)CC3)c2CCN1C(=O)/C=C/c1ccccc1-n1cnnn1,Ki,0.07,B,activity:18144734|CHEMBL4032027|CHEMBL4028883,https://www.ebi.ac.uk/chembl/activity_report_card/18144734,,medium,
CHEMBL4083769,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c(Cl)[nH]1,XJLHPRLCTMUWQZ-ODVRKRERSA-N,O=C(/C=C/c1ccccc1-n1cnnn1)N[C@H]1CCCCC(=O)Nc2ccccc2-c2c[nH]c1n2,Ki,0.07,B,activity:18264405|CHEMBL4056973|CHEMBL4052741,https://www.ebi.ac.uk/chembl/activity_report_card/18264405,,medium,
CHEMBL5076656,C[C@@H]1CCC[C@H](N2CCC(c3cc(Cl)ccc3-n3cc(Cl)nn3)=CC2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O,LRGILUKKMWWYGX-GYCJOSAFSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3-n3ccnn3)=CC2=O)c2cc(ccn2)-c2[nH]ncc2N1,Ki,0.07,B,activity:24387454|CHEMBL5040336|CHEMBL5038606,https://www.ebi.ac.uk/chembl/activity_report_card/24387454,,medium,
CHEMBL5934814,O=C(O)c1ccc(NC(=O)C(CC2CC2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1F,YEKRGICETZKVET-UHFFFAOYSA-N,O=C(Nc1ccccc1)C(CC1CC1)c1ccc(-c2ccccc2-n2cnnn2)c[nH+]1,IC50,0.07,B,activity:27324011|CHEMBL5732715|CHEMBL5726456,https://www.ebi.ac.uk/chembl/activity_report_card/27324011,,medium,
CHEMBL6057268,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(F)ccc3-n3cnnn3)c[n+]1[O-])c1nc-2c[nH]1,FLUCBLLJFWRIKM-OAQYLSRUSA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)c2nc(c[nH]2)-c2ccccc2N1,Ki,0.08,B,activity:27397601|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397601,,medium,
CHEMBL5778140,O=C1CCCC[C@H](c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])c2cccc(c2)-c2cc(F)ccc2N1,WRKWQDBVPUMDIA-DEOSSOPVSA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)c2cccc(c2)-c2ccccc2N1,Ki,0.09,B,activity:27397169|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397169,,medium,
CHEMBL4097304,CN(C)C1CCN(c2cccc3c2CCN(C(=O)/C=C/c2c(-n4cnnn4)ccc(Cl)c2F)[C@@H]3C(=O)Nc2ccc(C(=O)O)cc2)CC1,SWWHGYMFIHPIQG-KVWOZJIWSA-N,O=C(Nc1ccccc1)[C@@H]1c2cccc(N3CCCCC3)c2CCN1C(=O)/C=C/c1ccccc1-n1cnnn1,Ki,0.098,B,activity:18144733|CHEMBL4032027|CHEMBL4028883,https://www.ebi.ac.uk/chembl/activity_report_card/18144733,,medium,
CHEMBL4107758,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C)NC1=O,SDMTXZKAASAJMI-GYCJOSAFSA-N,O=C1CCCC[C@H](n2cnc(-c3ccccc3-n3ccnn3)cc2=O)c2cc(ccn2)-c2[nH]ncc2N1,Ki,0.1,B,activity:17791795|CHEMBL3889078|CHEMBL3886936,https://www.ebi.ac.uk/chembl/activity_report_card/17791795,,medium,
CHEMBL4113006,C[C@@H]1CCC[C@H](n2cnc(-c3cc(Cl)ccc3-n3cc(C(F)(F)F)nn3)cc2=O)c2ccnc(c2)-c2c(cnn2C)NC1=O,FQRJWJILLRZDIQ-MWTRTKDXSA-N,O=C1CCCC[C@H](n2cnc(-c3ccccc3-n3ccnn3)cc2=O)c2ccnc(c2)-c2[nH]ncc2N1,Ki,0.1,B,activity:17791798|CHEMBL3889078|CHEMBL3886936,https://www.ebi.ac.uk/chembl/activity_report_card/17791798,,medium,
CHEMBL5869576,O=C(O)c1ccc(NC(=O)C(CC2CCC2)c2ccc(-c3c(C(F)F)ccc(Cl)c3F)c[n+]2[O-])cc1F,LHPWAHFZZCZBHC-UHFFFAOYSA-N,O=C(Nc1ccccc1)C(CC1CCC1)c1ccc(-c2ccccc2)c[nH+]1,IC50,0.1,B,activity:27038063|CHEMBL5731749|CHEMBL5725953,https://www.ebi.ac.uk/chembl/activity_report_card/27038063,,medium,
CHEMBL6034229,COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC(c1ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]1[O-])c1cccc-2c1,QPOLNDRLBGEWMU-UHFFFAOYSA-N,O=C1CCCCC(c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)c2cccc(c2)-c2ccccc2N1,Ki,0.1,B,activity:27397196|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397196,,medium,
CHEMBL3260341,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](n1ccc(-c3c(F)ccc(Cl)c3F)cc1=O)c1cc-2ccn1,CXCGNTAXXPYSAK-QUGAMOGWSA-N,O=C1CCCC[C@H](n2ccc(-c3ccccc3)cc2=O)c2cc(ccn2)-c2ccccc2N1,Ki,0.11,B,activity:14642928|CHEMBL3271330|CHEMBL3259657,https://www.ebi.ac.uk/chembl/activity_report_card/14642928,,medium,
CHEMBL4115423,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(-c4c[nH]nn4)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,BQBGLBLZLRGLKN-WRHNGFHOSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3-c3c[nH]nn3)=CC2=O)c2cc(ccn2)-c2ccccc2N1,Ki,0.11,B,activity:27608792|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608792,,medium,
CHEMBL5862641,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(Cl)ccc3-n3cc(C4CC4)nn3)c[n+]1[O-])c1cccc-2c1,DYLHBKKFYOXVTC-LJAQVGFWSA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3cc(C4CC4)nn3)c[nH+]2)c2cccc(c2)-c2ccccc2N1,Ki,0.11,B,activity:27397292|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397292,,medium,
CHEMBL5175227,Cn1nncc1-c1cnn([C@H](CCOC(F)F)c2ccc(-c3c(-n4cnnn4)ccc(Cl)c3F)c[n+]2[O-])c1,DLOJZKVIQCGHBL-MRXNPFEDSA-N,c1ccc(-n2cnnn2)c(-c2ccc(Cn3cc(-c4cnn[nH]4)cn3)[nH+]c2)c1,Ki,0.12,B,activity:24825250|CHEMBL5141365|CHEMBL5137069,https://www.ebi.ac.uk/chembl/activity_report_card/24825250,,medium,
CHEMBL4447001,Cc1nc2nc(C(C)C)[nH]c2cc1-c1ccc(C[C@H](NC(=O)[C@H]2CC[C@H](CN)CC2)C(=O)Nc2ccc(-c3nnc(C(F)(F)C(F)(F)C(=O)O)[nH]3)cc2)cc1,ZJYAXUISSVXYQC-HTLVZCCDSA-N,O=C(N[C@@H](Cc1ccc(-c2cnc3nc[nH]c3c2)cc1)C(=O)Nc1ccc(-c2nnc[nH]2)cc1)C1CCCCC1,IC50,0.13,B,activity:19054706|CHEMBL4356319|CHEMBL4354815,https://www.ebi.ac.uk/chembl/activity_report_card/19054706,,medium,
CHEMBL5204065,Cn1nncc1-c1cnn([C@H](Cc2ccc(F)cc2)c2ccc(-c3c(-n4cnnn4)ccc(Cl)c3F)c[n+]2[O-])c1,QPWVZPJRCXDJRH-HSZRJFAPSA-N,c1ccc(C[C@H](c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)n2cc(-c3cnn[nH]3)cn2)cc1,Ki,0.13,B,activity:24825248|CHEMBL5141365|CHEMBL5137069,https://www.ebi.ac.uk/chembl/activity_report_card/24825248,,medium,
CHEMBL5928310,COC(=O)Nc1ccc2c(c1)NC(=O)CCCC[C@H](c1ccc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)c[n+]1[O-])c1cccc-2c1,FZFPYNKLVBCZMF-SANMLTNESA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3ccnn3)c[nH+]2)c2cccc(c2)-c2ccccc2N1,Ki,0.13,B,activity:27397289|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397289,,medium,
CHEMBL5978240,CCc1[nH]c2nc1-c1ccc(NC(=O)OC)cc1NC(=O)CCCCC2c1ccc(-c2c(F)ccc(Cl)c2F)c[n+]1[O-],YWANJCPORQUSJY-UHFFFAOYSA-N,O=C1CCCCC(c2ccc(-c3ccccc3)c[nH+]2)c2nc(c[nH]2)-c2ccccc2N1,Ki,0.13,B,activity:27397577|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397577,,medium,
CHEMBL6167004,CC[C@@H](c1cc(-c2ccc(N)nc2)ccn1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cnnn2)cc1=O,YRLUYIQBVFUUHF-QFIPXVFZSA-N,O=c1cc(-c2ccccc2-n2cnnn2)ccn1Cc1cc(-c2cccnc2)ccn1,IC50,0.13,B,activity:29174294|CHEMBL6110385|CHEMBL6109084,https://www.ebi.ac.uk/chembl/activity_report_card/29174294,,medium,
CHEMBL5795968,O=C(O)c1ccc(NC(=O)[C@H](C[C@H]2CC[C@H](O)CC2)c2ccc(-c3c(OC(F)F)ccc(Cl)c3F)c[n+]2[O-])cc1,WVAWTXJGGXPRFT-CDHQVMDDSA-N,O=C(Nc1ccccc1)[C@H](CC1CCCCC1)c1ccc(-c2ccccc2)c[nH+]1,IC50,0.14,B,activity:27037682|CHEMBL5731749|CHEMBL5725953,https://www.ebi.ac.uk/chembl/activity_report_card/27037682,,medium,
CHEMBL5843501,O=C(O)c1ccc(NC(=O)[C@H](CC2CC2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1,LTGICARJTJRTII-OAQYLSRUSA-N,O=C(Nc1ccccc1)[C@H](CC1CC1)c1ccc(-c2ccccc2-n2cnnn2)c[nH+]1,IC50,0.14,B,activity:27323927|CHEMBL5732715|CHEMBL5726456,https://www.ebi.ac.uk/chembl/activity_report_card/27323927,,medium,
CHEMBL5879132,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(F)cccc3F)c[n+]1[O-])c1nc-2c(C2CC2)[nH]1,LPVUJSLNFIOCKO-VGOFRKELSA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3)c[nH+]2)c2nc(c(C3CC3)[nH]2)-c2ccccc2N1,Ki,0.14,B,activity:27397694|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397694,,medium,
CHEMBL5966546,COC(=O)Nc1ccc2c(c1)NC(=O)CCCCC(c1ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]1[O-])c1cc-2[n+]([O-])cc1F,OMMREAWBRLWOAO-UHFFFAOYSA-N,O=C1CCCCC(c2ccc(-c3ccccc3-n3cnnn3)c[nH+]2)c2cc[nH+]c(c2)-c2ccccc2N1,Ki,0.14,B,activity:27397448|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397448,,medium,
CHEMBL6036933,C[C@@H]1CCC[C@H](c2ccc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)c[n+]2[O-])c2cccc(c2)-c2c(cnn2C(F)F)NC1=O,WYSPEEWZMDMZCQ-VGSWGCGISA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3-n3ccnn3)c[nH+]2)c2cccc(c2)-c2[nH]ncc2N1,Ki,0.14,B,activity:27397811|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397811,,medium,
CHEMBL5780336,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](c1ccc(-c3c(F)ccc(Cl)c3F)c[n+]1[O-])c1cc-2ncc1F,GNEYFEXMAZDVQB-APWZRJJASA-N,O=C1CCCC[C@H](c2ccc(-c3ccccc3)c[nH+]2)c2ccnc(c2)-c2ccccc2N1,Ki,0.16,B,activity:27397415|CHEMBL5733022|CHEMBL5726611,https://www.ebi.ac.uk/chembl/activity_report_card/27397415,,medium,
CHEMBL6008405,N[C@@H](CCCCNC(=O)CN1CC=C(c2cccc3c2CCN(C(=O)[C@H]2CC(c4cccc(Cl)c4F)=NO2)[C@@H]3C(=O)Nc2ccc(C(=O)O)cc2)CC1)C(=O)O,CXXTXQGAYWDPOM-ZYPDKHHRSA-N,O=C(Nc1ccccc1)[C@@H]1c2cccc(C3=CCNCC3)c2CCN1C(=O)[C@H]1CC(c2ccccc2)=NO1,IC50,0.16,B,activity:28881254|CHEMBL5738843|CHEMBL5729511,https://www.ebi.ac.uk/chembl/activity_report_card/28881254,,medium,
CHEMBL6044161,O=C(O)c1ccc(NC(=O)[C@H](Cc2ccccc2)c2ccc(-c3cc(Cl)ccc3-n3cnnn3)c[n+]2[O-])cc1,YUWLGIZXLRBQBZ-XMMPIXPASA-N,O=C(Nc1ccccc1)[C@H](Cc1ccccc1)c1ccc(-c2ccccc2-n2cnnn2)c[nH+]1,IC50,0.16,B,activity:27323810|CHEMBL5732715|CHEMBL5726456,https://www.ebi.ac.uk/chembl/activity_report_card/27323810,,medium,
CHEMBL4107795,COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(C(C)=O)ccc(Cl)c3F)=CC1=O)c1cccc-2c1,XTUFVXUJJQAYGD-XBBWARJSSA-N,O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cccc(c2)-c2ccccc2N1,Ki,0.17,B,activity:27608759|CHEMBL5733793|CHEMBL5726976,https://www.ebi.ac.uk/chembl/activity_report_card/27608759,,medium,
